x1,x2,x3,x4,x5,x6,x7,x8
0.1612565,0.0952188,0.0,0.0,0.0,0.0,0.0,0.0
0.0705836,0.078549399,0.0,0.0,0.0,0.0,0.0,0.0
0.0554373,0.0658955,0.0,0.0,0.0,0.0,0.0,0.0
0.03302,0.0689713,0.0,0.0,0.0,0.0,0.0,0.0
0.0528047,0.0696428,0.0,0.0,0.0,0.0,0.0,0.0
0.042403801,0.0687272,0.0,0.0,0.0,0.0,0.0,0.0
0.0357703,0.0694474,0.0,0.0,0.0,0.0,0.0,0.0
0.0401814,0.0714982,0.0,0.0,0.0,0.0,0.0,0.0
0.043745,0.091973601,0.0,0.0,0.0,0.0,0.0,0.0
0.0402175,0.0994235,0.0,0.0,0.0,0.0,0.0,0.0
0.0417092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037810201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0432886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.168251201,0.1011359,0.0,0.0,0.0,0.0,0.0,0.0
0.0431886,0.074847,0.0,0.0,0.0,0.0,0.0,0.0
0.049594301,0.077129599,0.0,0.0,0.0,0.0,0.0,0.0
0.0453515,0.0671674,0.0,0.0,0.0,0.0,0.0,0.0
0.0449935,0.065981,0.0,0.0,0.0,0.0,0.0,0.0
0.0531374,0.069996799,0.0,0.0,0.0,0.0,0.0,0.0
0.0346479,0.063675199,0.0,0.0,0.0,0.0,0.0,0.0
0.0490519,0.0658458,0.0,0.0,0.0,0.0,0.0,0.0
0.0374733,0.0806876,0.0,0.0,0.0,0.0,0.0,0.0
0.038450801,0.077150001,0.0,0.0,0.0,0.0,0.0,0.0
0.048994099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.041334499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0371084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181435,0.107664501,0.0,0.0,0.0,0.0,0.0,0.0
0.0411078,0.0800971,0.0,0.0,0.0,0.0,0.0,0.0
0.0580171,0.080521201,0.0,0.0,0.0,0.0,0.0,0.0
0.044782301,0.0701499,0.0,0.0,0.0,0.0,0.0,0.0
0.0421441,0.0704592,0.0,0.0,0.0,0.0,0.0,0.0
0.050039799,0.072228699,0.0,0.0,0.0,0.0,0.0,0.0
0.0341445,0.0642109,0.0,0.0,0.0,0.0,0.0,0.0
0.04078,0.0625251,0.0,0.0,0.0,0.0,0.0,0.0
0.0436517,0.0959118,0.0,0.0,0.0,0.0,0.0,0.0
0.045081101,0.083087799,0.0,0.0,0.0,0.0,0.0,0.0
0.056596499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038343601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047360701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0357522,0.0672572,0.0,0.0,0.0,0.0,0.0,0.0
