x cord,y cord,z cord,periodicity error
1.09609414564358520569747890149869818e+00,-2.33529804567645798973885007399076130e-01,9.90000000000000055302984414140610170e-02,4.34555720813373863559184044790274262e-04
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.85000000000000055198901005582001744e-02,1.31293424275695258107706013580737057e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.86000000000000055111297470045172986e-02,1.25708103196428661484357955055089024e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.87000000000000055565795020751096445e-02,1.20211177414962157999270196494751574e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.88000000000000055207140942092891578e-02,1.14803086859552021901280586658478388e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.89000000000000055255062678116750874e-02,1.09484510621810137190027176128309420e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.90000000000000055302984414140610170e-02,1.04256414130705242267664293034021282e-01
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.91000000000000055350906150164469466e-02,9.91201105933352157484057766178860030e-02
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.92000000000000055398827886188328762e-02,9.40773407604875114046502440199232629e-02
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.93000000000000055040173807530123895e-02,8.91303764427916244520243359940968729e-02
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.94000000000000055494671358236047354e-02,8.42821550287433956579871083200728090e-02
1.09559414564358520568707056064283734e+00,-2.34029804567645798984293348254936973e-01,9.95000000000000055407067822699218596e-02,7.95364546847472912492699992546122348e-02
1.09559414564358520568707056064283734e+00,-2.33929804567645798993053701808619849e-01,9.85000000000000055198901005582001744e-02,1.42195933485483368193195175174174608e-01
1.09559414564358520568707056064283734e+00,-2.33929804567645798993053701808619849e-01,9.86000000000000055111297470045172986e-02,1.36525692119549479043670906013667977e-01
