x1,x2,x3,x4,x5,x6,x7,x8
0.2471754,0.211911001,1.0500568,3.2644103,9.824083599,85.1177502,62.4826894,912.7874437
0.2203978,0.2103698,1.260718899,5.171237401,7.0449877,91.929157399,62.8126854,861.6430349
0.194177599,0.2083523,1.146800401,9.701496999,7.0600995,91.726082001,63.561117601,898.6448237
0.205580399,0.684432501,1.098917799,7.165044301,7.0473788,90.3761661,62.5819645,1462.6730321
0.2017501,0.2088037,1.114276499,8.166851999,7.233918,90.1041438,62.750510501,892.0536297
0.229479099,0.2109478,1.442649501,7.0457572,7.001047999,93.2214386,62.9699365,1034.7713955
0.199741701,0.197496,1.5207444,8.3441053,7.0666758,90.138058,62.7158411,1054.3151489
0.2025588,0.2168504,1.4650834,7.0140812,7.2143969,83.6269941,62.1705421,0.0
0.2070065,0.2302721,1.355947701,8.3015237,7.3646754,83.7195078,62.4434424,0.0
0.202798001,0.931521899,1.3478693,7.0066377,7.0123629,83.6976926,62.893722299,0.0
0.200685899,0.2125863,1.3673435,8.2290583,7.407939999,87.656361,62.224445399,0.0
0.2334185,0.2271297,1.3184627,7.2219003,7.096282401,86.6265852,61.6492727,0.0
0.2038594,0.2345182,1.3282061,8.249673,7.1516772,86.5155599,61.592250201,0.0
0.256326001,0.2266088,1.2988309,3.607194499,11.0697115,82.754644,76.6878385,910.229557899
0.2265395,0.2305683,1.452631601,4.3972875,8.355027599,89.4838706,75.247569201,863.0577155
0.2239005,0.236160399,1.357620199,8.6928409,8.3761893,93.197073901,76.3784628,899.8586744
0.2217016,0.2176956,1.3144235,10.021824299,8.4039949,91.9278739,76.377235401,1463.934526401
0.2112785,0.2119628,1.316039901,7.178507101,8.6334772,91.596134499,76.5492365,893.229928
0.2489428,0.259320699,1.7136569,9.8270582,8.3679204,94.812977401,76.0658515,1035.8821398
0.217864401,1.779672199,1.7566334,7.4640516,8.457083099,91.7225921,75.903558,1055.3900801
0.2624424,0.2278254,1.684671299,9.891937401,8.5522107,85.2063338,75.029502199,0.0
0.225402899,0.231465701,1.5993334,7.2927472,8.613190101,85.316834701,76.585415999,0.0
0.2240494,0.2199024,1.532314001,9.9153488,8.6625465,85.3771886,76.146645301,0.0
0.220868099,0.254591701,1.531928899,7.2610952,8.7542645,85.3174151,76.0692253,0.0
0.2631188,0.2273785,1.524101801,10.076329999,8.3789061,84.3672361,74.778171601,0.0
0.2252967,0.2524205,1.4977922,7.2994869,8.5212695,84.267427499,73.5523513,0.0
0.255995899,0.224769599,1.280472699,3.565166401,11.145667199,83.9191633,76.294700901,911.7124099
0.2373847,0.2304401,1.457093899,6.7039561,8.377233599,90.6937017,75.0224763,864.542914
0.2256217,0.2334407,1.3418647,7.229343901,8.4009974,90.548763,76.3970567,901.297562299
0.2186503,0.2160696,1.3050341,8.657656899,8.391022999,89.214199901,76.494586401,1465.315764799
0.2179491,0.232841199,1.299070501,5.743452499,8.553172699,89.0533921,76.6209181,894.645855799
0.2327568,0.212732699,1.7046424,8.458035899,8.3189752,92.1133241,76.128413901,1033.733370299
0.2192862,0.8981909,1.7565468,5.7180156,8.384560499,92.762058399,75.4458676,1053.3817037
0.2470121,0.2142128,1.6798213,8.514342899,8.585434,86.3567702,75.5214863,0.0
0.210258399,0.231625999,1.5979432,5.901101399,8.644064,86.4527523,75.996029299,0.0
0.2023317,0.2600565,1.531265599,8.5185106,8.614941,86.4326009,75.819215899,0.0
0.2063267,0.2534185,1.5425503,5.749566801,8.840246801,86.4449705,76.0869411,0.0
0.248454701,0.2411329,1.5273742,8.733584999,8.3347535,85.4297726,74.985456899,0.0
0.456868501,0.9569779,1.501485201,5.852090701,8.4403326,85.387228599,74.041371801,0.0
0.1665728,0.175798899,0.734318001,6.326279201,4.0347214,34.625278201,33.7934782,0.0
