x1,x2,x3,x4,x5,x6,x7,x8
0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00,0.00000000000000000000000000000000000e+00
-1.97627913364882575061604795596537087e+11,1.33673098922116857616426699451039894e+04,9.26389026032259366161270008888095617e-04,1.05100039782257681508781388401985168e-10,5.55111512312578270211815834045410156e-16,-9.99200722162640886381268501281738281e-16,4.44089209850062616169452667236328125e-16,-5.55111512312578270211815834045410156e-16
-2.16488053381524113824507168157840198e+12,6.98817960973852319508381469859159552e+04,8.38897704043994885125812288606539369e-04,5.99054139627241966081783175468444824e-11,1.99840144432528177276253700256347656e-15,4.44089209850062616169452667236328125e-16,1.99840144432528177276253700256347656e-15,-1.11022302462515654042363166809082031e-16
-2.19919466347549916559459762932515758e+12,1.09469548215064440731647543714188942e+05,5.95664301451637179241060948697850108e-04,1.40836231565799607778899371623992920e-11,1.44328993201270350255072116851806641e-15,-3.33066907387546962127089500427246094e-16,2.22044604925031308084726333618164062e-16,4.44089209850062616169452667236328125e-16
-1.29666085769764439303162215832987414e+12,1.31093942656616176495654180200745031e+05,1.96541981667186504978417360689491034e-04,-3.23614468555888379341922700405120850e-11,3.10862446895043831318616867065429688e-15,-5.55111512312578270211815834045410156e-16,9.99200722162640886381268501281738281e-16,5.55111512312578270211815834045410156e-16
-4.12447750690697712946898228270065090e+11,1.33691511000152437972254837461605348e+05,-3.58620256488251243354170583188533783e-04,-7.94349030996954752481542527675628662e-11,3.88578058618804789148271083831787109e-15,-1.44328993201270350255072116851806641e-15,1.99840144432528177276253700256347656e-15,1.44328993201270350255072116851806641e-15
6.37438466266634307282285016871270500e+10,1.16228760603951565178126870137020887e+05,-1.06998751844045170145136580686084926e-03,-1.27134192062783313303953036665916443e-10,3.88578058618804789148271083831787109e-15,9.99200722162640886381268501281738281e-16,2.22044604925031308084726333618164062e-15,1.11022302462515654042363166809082031e-15
6.11423244151673309372067921518834055e+09,7.77650123578954572750587814766731753e+04,-1.93773887600778849105154222343116999e-03,-1.75459091700247427070280537009239197e-10,2.77555756156289135105907917022705078e-15,1.11022302462515654042363166809082031e-15,2.77555756156289135105907917022705078e-15,4.44089209850062616169452667236328125e-16
-6.25194885384982303276470633646155761e+11,1.75143969572787874237063121540813881e+04,-2.96206721486691471056929003680124879e-03,-2.24412710636556766985449939966201782e-10,5.44009282066326704807579517364501953e-15,4.44089209850062616169452667236328125e-16,1.44328993201270350255072116851806641e-15,1.44328993201270350255072116851806641e-15
-1.65204279957923448952601893335856431e+12,-6.50970883158950245142015944566082908e+04,-4.14317906750283349026631185552105308e-03,-2.73992162291847307642456144094467163e-10,5.44009282066326704807579517364501953e-15,-6.66133814775093924254179000854492188e-16,1.88737914186276611872017383575439453e-15,1.99840144432528177276253700256347656e-15
-3.50665187939887805305006761014130490e+12,-1.70383057455970090771635305770814739e+05,-5.48129443176548214466947683831676841e-03,-3.24196669510001811431720852851867676e-10,5.44009282066326704807579517364501953e-15,0.00000000000000000000000000000000000e+00,1.33226762955018784850835800170898438e-15,4.44089209850062616169452667236328125e-16
-7.78543040510192290683081521973640804e+12,-2.98359612047748678802516764108077041e+05,-6.97664657518115571832595378509722650e-03,-3.75031561361538479104638099670410156e-10,7.10542735760100185871124267578125000e-15,-5.55111512312578270211815834045410156e-16,7.77156117237609578296542167663574219e-16,2.22044604925031308084726333618164062e-16
-1.22841408371036351042307975386380647e+13,-4.48721571326012523783455243631124176e+05,-8.62948182517953021886114584049209952e-03,-4.26490731619821872300235554575920105e-10,7.66053886991358012892305850982666016e-15,5.55111512312578270211815834045410156e-16,1.99840144432528177276253700256347656e-15,1.11022302462515654042363166809082031e-15
-1.34499097250091894497769226434202849e+13,-6.20833017358647573256225093984994601e+05,-1.04400593453979340097248496022075415e-02,-4.78577621976228329003788530826568604e-10,7.66053886991358012892305850982666016e-15,-6.66133814775093924254179000854492188e-16,2.77555756156289135105907917022705078e-15,1.11022302462515654042363166809082031e-15
-1.22201695011806787772821586569582664e+13,-8.13732128833977702137225662681885296e+05,-1.24086508982356180652573129918891937e-02,-5.31290678118523373996140435338020325e-10,7.66053886991358012892305850982666016e-15,-3.33066907387546962127089500427246094e-16,1.99840144432528177276253700256347656e-15,1.66533453693773481063544750213623047e-15
-1.07747469010889996213699208408298702e+13,-1.02614937650773600015796649387311845e+06,-1.45355405938719650649204595538321882e-02,-5.84630566180521782371215522289276123e-10,8.77076189453873666934669017791748047e-15,-8.88178419700125232338905334472656250e-16,1.99840144432528177276253700256347656e-15,7.77156117237609578296542167663574219e-16
-9.96154841751072357830684310620039668e+12,-1.25653740460553951663691396589683791e+06,-1.68210246259044016170491886441595852e-02,-6.38600727853599892114289104938507080e-10,9.88098491916389320977032184600830078e-15,5.55111512312578270211815834045410156e-16,1.88737914186276611872017383575439453e-15,-6.66133814775093924254179000854492188e-16
-9.75861089729529257484545411593934716e+12,-1.50311036795612831196666814292939307e+06,-1.92654109938666939783047382661607116e-02,-6.93195389978029652411350980401039124e-10,9.65894031423886190168559551239013672e-15,9.99200722162640886381268501281738281e-16,3.44169137633798527531325817108154297e-15,-3.33066907387546962127089500427246094e-16
-9.96912629141858674348624466388102405e+12,-1.76389015399603639646264330309577417e+06,-2.18690192128153659822942245227750391e-02,-7.48417883222884938732022419571876526e-10,1.08801856413265340961515903472900391e-14,4.44089209850062616169452667236328125e-16,1.88737914186276611872017383575439453e-15,0.00000000000000000000000000000000000e+00
-1.04172346785947884801244684835896948e+13,-2.03675679018919137559606724607874639e+06,-2.46321800102091703621454144013114274e-02,-8.04269650878097763779805973172187805e-10,1.14352971536391123663634061813354492e-14,-3.33066907387546962127089500427246094e-16,2.44249065417534438893198966979980469e-15,-6.66133814775093924254179000854492188e-16
-1.10325985149119909214638571767208575e+13,-2.31950040103914827099718110048343078e+06,-2.75552350103703824757417351065669209e-02,-8.60748139430711489694658666849136353e-10,1.04360964314764714799821376800537109e-14,-9.99200722162640886381268501281738281e-16,1.44328993201270350255072116851806641e-15,-3.33066907387546962127089500427246094e-16
-1.20323324867985149898647606578894198e+13,-2.60987230182549897033505992283153319e+06,-3.06385364067045529168353823479264975e-02,-9.17853459903028578992234542965888977e-10,1.34336985979643941391259431838989258e-14,5.55111512312578270211815834045410156e-16,2.77555756156289135105907917022705078e-15,-1.11022302462515654042363166809082031e-16
-1.34548036354515115890469400222739793e+13,-2.90563315780451675505724473680402298e+06,-3.38824466220132292093580872460734099e-02,-9.75586278428863806766457855701446533e-10,1.39888101102769724093377590179443359e-14,-1.11022302462515654042363166809082031e-16,2.55351295663786004297435283660888672e-15,-1.55431223447521915659308433532714844e-15
-1.45454327491252287449351667178998326e+13,-3.20459655459902467689714544718526668e+06,-3.72873379571063701121147460071370006e-02,-1.03394837136505657326779328286647797e-09,1.34336985979643941391259431838989258e-14,2.22044604925031308084726333618164062e-15,4.44089209850062616169452667236328125e-16,-1.44328993201270350255072116851806641e-15
-1.47393728137465843567607100821348354e+13,-3.50466677636257092525340350874785145e+06,-4.08535922280350849433716575731523335e-02,-1.09293785133246501573012210428714752e-09,1.42108547152020037174224853515625000e-14,5.55111512312578270211815834045410156e-16,1.99840144432528177276253700256347656e-15,-1.11022302462515654042363166809082031e-16
-1.43082902807210364423828413508177348e+13,-3.80387003662772545609038754577113650e+06,-4.45816003922191450570267079456243664e-02,-1.15255494037569405918475240468978882e-09,1.45439216225895506795495748519897461e-14,1.44328993201270350255072116851806641e-15,1.44328993201270350255072116851806641e-15,-1.44328993201270350255072116851806641e-15
-1.37557645412653195427114255077194471e+13,-4.10037882333208127938473097628957476e+06,-4.84717621637354989516666137205902487e-02,-1.21280019360625601620995439589023590e-09,1.58761892521397385280579328536987305e-14,9.99200722162640886381268501281738281e-16,2.77555756156289135105907917022705078e-15,-9.99200722162640886381268501281738281e-16
-1.33838659411394682746091809923960625e+13,-4.39252938332048829830356329040341734e+06,-5.25244856181239505588109750533476472e-02,-1.27367616453710752466577105224132538e-09,1.73194791841524420306086540222167969e-14,2.22044604925031308084726333618164062e-16,1.44328993201270350255072116851806641e-15,-8.88178419700125232338905334472656250e-16
