x cord,y cord,z cord,periodicity error
-1.09713166997314859330003855575341731e+00,-2.33670073493601609948555619666876737e-01,-1.00000000000000005551115123125782702e-01,4.34555718468118486697814149497902893e-04
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.50000000000000008326672684688674053e-01,4.31353321819470227019694297257638225e+02
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.40000000000000006383782391594650107e-01,3.98103711605114407480502898172290336e+01
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.30000000000000004440892098500626162e-01,5.02903110586431653152975251666742599e+04
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.20000000000000005967448757360216405e-01,5.92827168258039243735283887411782203e+02
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.10000000000000005759281940242999553e-01,2.37871940601546662558263981953640996e+00
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-1.00000000000000005551115123125782702e-01,1.46096838710378666696487103601628428e+03
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-9.00000000000000053429483060085658508e-02,4.69335746069324468950163277289828822e+03
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-8.00000000000000051347814888913489995e-02,2.53228910841620100922807167066741621e+00
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-7.00000000000000066613381477509392425e-02,3.30973717949443480531945162746719214e+00
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-6.00000000000000047184478546569152968e-02,3.94001409125828933699404329911229940e+00
-1.14713166997314859607559611731630866e+00,-2.83670073493601612724113181229768088e-01,-5.00000000000000027755575615628913511e-02,3.91789332134493198362592163416878324e+02
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.50000000000000008326672684688674053e-01,1.86536421236392720507287053360507842e+02
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.40000000000000006383782391594650107e-01,6.05006632882356827255561480324469307e+02
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.30000000000000004440892098500626162e-01,2.64866401268468551656002232916723481e+00
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.20000000000000005967448757360216405e-01,8.61122426796447973595758026064772348e+03
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.10000000000000005759281940242999553e-01,8.04452788365797941347396247684381405e+01
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-1.00000000000000005551115123125782702e-01,3.50762791460263929059675266764372444e+02
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-9.00000000000000053429483060085658508e-02,3.38841826647123098757245429455534608e+02
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-8.00000000000000051347814888913489995e-02,1.57626530447364606519687016215028122e+03
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-7.00000000000000066613381477509392425e-02,2.02518890864481185733264210844577547e+03
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-6.00000000000000047184478546569152968e-02,2.19008679613641107101062922789750030e+03
-1.14713166997314859607559611731630866e+00,-2.73670073493601610781222888135744142e-01,-5.00000000000000027755575615628913511e-02,4.03048311465116151097653963914096057e+02
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.50000000000000008326672684688674053e-01,3.66593619659824304695198598468754550e+00
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.40000000000000006383782391594650107e-01,3.71156678579156248071373110927434904e+00
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.30000000000000004440892098500626162e-01,3.32170911805494571635377384595019184e+00
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.20000000000000005967448757360216405e-01,2.88213513324570684017870194564419837e+00
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.10000000000000005759281940242999553e-01,1.76218383280324830436698674407953291e+00
-1.14713166997314859607559611731630866e+00,-2.63670073493601608838332595041720197e-01,-1.00000000000000005551115123125782702e-01,1.16558186200982731322985230454128700e+03
