x cord,y cord,z cord,periodicity error
-5.40556847423408148856083244027104229e-01,3.45281693188283000939264866246958263e-01,0.00000000000000000000000000000000000e+00,4.34560761530850783773756752522741768e-04
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,-5.00000000000000010408340855860842566e-03,2.28249850699955810773173589449657157e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,-4.00000000000000008326672684688674053e-03,2.25277375070072756433510033312999325e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,-3.00000000000000006245004513516505540e-03,2.22322944656058863300108037027551205e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,-2.00000000000000004163336342344337027e-03,2.19859949938696030747599271908342206e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,-1.00000000000000002081668171172168513e-03,2.18369922566479023912743781522552507e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,0.00000000000000000000000000000000000e+00,2.18319685927231648765406228712536917e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,1.00000000000000002081668171172168513e-03,2.20118375845211153746137341332010661e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,2.00000000000000004163336342344337027e-03,2.23986609266013017407890309095295697e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,3.00000000000000006245004513516505540e-03,2.29592287092115088351841137003495398e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,4.00000000000000008326672684688674053e-03,2.35244682841516571286610285436350810e+00
-5.45556847423408148960166652585712654e-01,3.40281693188283000835181457688349838e-01,5.00000000000000010408340855860842566e-03,2.36838185213325381742705090162353309e+00
-5.45556847423408148960166652585712654e-01,3.41281693188283000855998139400071523e-01,-5.00000000000000010408340855860842566e-03,1.71374565297493514835743516032976889e+00
-5.45556847423408148960166652585712654e-01,3.41281693188283000855998139400071523e-01,-4.00000000000000008326672684688674053e-03,1.71554575132692257190823410121823772e+00
