x cord,y cord,z cord,periodicity error
-5.00000000000000027755575615628913511e-02,-5.00000000000000027755575615628913511e-02,-5.00000000000000027755575615628913511e-02,4.34555769467782978088934092179429103e-04
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-5.00000000000000027755575615628913511e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-4.90000000000000027547408798511696659e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-4.80000000000000027339241981394479808e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-4.70000000000000027131075164277262957e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-4.60000000000000026922908347160046105e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.50000000000000028796409701214997767e-02,-4.50000000000000026714741530042829254e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.50000000000000028796409701214997767e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.40000000000000028588242884097780916e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.30000000000000028380076066980564065e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.20000000000000028171909249863347213e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.10000000000000027963742432746130362e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-5.00000000000000027755575615628913511e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-4.90000000000000027547408798511696659e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-4.80000000000000027339241981394479808e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-4.70000000000000027131075164277262957e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-4.60000000000000026922908347160046105e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.40000000000000028588242884097780916e-02,-4.50000000000000026714741530042829254e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.50000000000000028796409701214997767e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.40000000000000028588242884097780916e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.30000000000000028380076066980564065e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.20000000000000028171909249863347213e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.10000000000000027963742432746130362e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-5.00000000000000027755575615628913511e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-4.90000000000000027547408798511696659e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-4.80000000000000027339241981394479808e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-4.70000000000000027131075164277262957e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-4.60000000000000026922908347160046105e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.30000000000000028380076066980564065e-02,-4.50000000000000026714741530042829254e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.50000000000000028796409701214997767e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.40000000000000028588242884097780916e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.30000000000000028380076066980564065e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.20000000000000028171909249863347213e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.10000000000000027963742432746130362e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-5.00000000000000027755575615628913511e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-4.90000000000000027547408798511696659e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-4.80000000000000027339241981394479808e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-4.70000000000000027131075164277262957e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-4.60000000000000026922908347160046105e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.20000000000000028171909249863347213e-02,-4.50000000000000026714741530042829254e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.50000000000000028796409701214997767e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.40000000000000028588242884097780916e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.30000000000000028380076066980564065e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.20000000000000028171909249863347213e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.10000000000000027963742432746130362e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-5.00000000000000027755575615628913511e-02,0.00000000000000000000000000000000000e+00
-5.50000000000000028796409701214997767e-02,-5.10000000000000027963742432746130362e-02,-4.90000000000000027547408798511696659e-02,0.00000000000000000000000000000000000e+00
