Vz,periodicity error
8.99999999999999966693309261245303787e-02,9.23608280288671831131947229754963416e-02
9.00100000000000066702199319479404949e-02,9.22323955029323830420714841934843856e-02
9.00199999999999889155333221424371004e-02,9.20967841604732417163843076781169657e-02
9.00299999999999989164223279658472165e-02,9.19632041108141844022692856110852474e-02
9.00399999999999950395235259748005774e-02,9.18316653801598769771930543276828409e-02
9.00500000000000050404125317982106935e-02,9.17021779123507341544528394557129410e-02
9.00599999999999872857259219927072991e-02,9.15747515660463717295396385940639254e-02
9.00699999999999972866149278161174152e-02,9.14390949529922146656177936964698092e-02
9.00799999999999934097161258250707760e-02,9.13053816275397616566464222911605780e-02
9.00900000000000034106051316484808922e-02,9.11737252921698966471580535311083976e-02
9.00999999999999856559185218429774977e-02,9.10441360365572337623604327685751912e-02
9.01099999999999956568075276663876139e-02,9.09166238633070117262372385268356992e-02
9.01199999999999917799087256753409747e-02,9.07820087601092397915846659260991224e-02
9.01299999999999879030099236842943355e-02,9.06481631309998277746191461921169749e-02
9.01399999999999979038989295077044517e-02,9.05163903712664818632170411292124350e-02
9.01500000000000079047879353311145678e-02,9.03867007194098598898821949532383008e-02
9.01600000000000040278891333400679287e-02,9.02591043249214630672214458230842856e-02
9.01700000000000001509903313490212895e-02,9.01255239474762345613319221645052375e-02
9.01799999999999962740915293579746503e-02,8.99915469973152246292516076421711435e-02
9.01900000000000062749805351813847665e-02,8.98596590083098195707723122559253766e-02
9.02000000000000023980817331903381273e-02,8.97298703708616891876138833488179413e-02
9.02099999999999985211829311992914882e-02,8.96021913843651837920894473149506919e-02
9.02199999999999946442841292082448490e-02,8.94696389732974455425120187414934448e-02
9.02300000000000046451731350316549651e-02,8.93355316951277943704986636335938309e-02
9.02400000000000007682743330406083260e-02,8.92035296867669788719139686444621603e-02
9.02499999999999968913755310495616868e-02,8.90736434936754724833929337854592144e-02
9.02599999999999930144767290585150477e-02,8.89458835682508956354199390477441976e-02
9.02700000000000030153657348819251638e-02,8.88143523891358049431190272890782958e-02
9.02799999999999991384669328908785246e-02,8.86801157864114399263685362803071053e-02
9.02899999999999952615681308998318855e-02,8.85480009835295965567855936375661223e-02
9.02999999999999913846693289087852463e-02,8.84180186842557900678057712811129892e-02
9.03100000000000013855583347321953624e-02,8.82901794971752536892050298072950862e-02
9.03199999999999975086595327411487233e-02,8.81596628407711872558459295496655884e-02
9.03299999999999936317607307501020841e-02,8.80252979273322693654809036696405412e-02
9.03399999999999897548619287590554450e-02,8.78930715697829897733530739057627228e-02
9.03499999999999997557509345824655611e-02,8.77629946335290085756187224587924108e-02
9.03599999999999958788521325914189219e-02,8.76350778866163204785020561409039152e-02
9.03699999999999920019533306003722828e-02,8.75055690691070175831703018634998761e-02
9.03799999999999881250545286093256436e-02,8.73710768691610254401868327193954486e-02
9.03899999999999981259435344327357598e-02,8.72387402119259065598221764777922737e-02
9.03999999999999942490447324416891206e-02,8.71085701278767576715624011942025647e-02
9.04099999999999903721459304506424814e-02,8.69805775478824456459399643628774927e-02
9.04200000000000003730349362740525976e-02,8.68520699111323087124380749733056256e-02
9.04300000000000103739239420974627137e-02,8.67174514592381704281905055007224552e-02
9.04400000000000064970251401064160746e-02,8.65850057725453383086402305429725084e-02
9.04500000000000026201263381153694354e-02,8.64547440501221610690038591887065440e-02
9.04599999999999987432275361243227962e-02,8.63266773891182114576665437294564077e-02
9.04700000000000087441165419477329124e-02,8.61991643009395897186926604377813648e-02
9.04800000000000048672177399566862732e-02,8.60644206419973106609078203241171297e-02
9.04900000000000009903189379656396341e-02,8.59318672114471364401219855403395565e-02
9.04999999999999971134201359745929949e-02,8.58015153805760706194196469618849961e-02
9.05100000000000071143091417980031110e-02,8.56733764163683227652849877160174335e-02
9.05199999999999893596225319924997166e-02,8.55468512708010133835165363951027498e-02
9.05299999999999993605115378159098327e-02,8.54119834600439005454034081641981343e-02
9.05399999999999954836127358248631936e-02,8.52793235867460484856739320901915320e-02
9.05500000000000054845017416482733097e-02,8.51488831981404933069734137461077044e-02
9.05599999999999877298151318427699152e-02,8.50206737347018737492006774943720650e-02
9.05699999999999977307041376661800314e-02,8.48947065263201479168270495034461962e-02
9.05799999999999938538053356751333922e-02,8.47601390552994707865140040834404284e-02
9.05900000000000038546943414985435084e-02,8.46273740560187665775325531961359559e-02
9.05999999999999861000077316930401139e-02,8.44968466814780237504470452105488565e-02
9.06099999999999961008967375164502300e-02,8.43685685493994059128968532195301153e-02
9.06199999999999922239979355254035909e-02,8.42425511642686658467266008520920307e-02
9.06299999999999883470991335343569517e-02,8.41088866702088229982924529846739684e-02
9.06399999999999844702003315433103126e-02,8.39760178775226534592303430919692932e-02
9.06499999999999944710893373667204287e-02,8.38454051102435329853480530489089178e-02
9.06599999999999905941905353756737895e-02,8.37170601672104598430586655214852878e-02
9.06699999999999867172917333846271504e-02,8.35909947312865439784793826472069111e-02
9.06799999999999828403929313935805112e-02,8.34582256490155849273673767217003989e-02
9.06900000000000067190697450314473826e-02,8.33252544114800571072833147655326321e-02
9.07000000000000028421709430404007435e-02,8.31945578663896126277894653950456653e-02
9.07099999999999989652721410493541043e-02,8.30661479976769815644293794857213655e-02
9.07199999999999950883733390583074652e-02,8.29400366704755666401124576539573710e-02
9.07300000000000050892623448817175813e-02,8.28081554391087405449711505170618417e-02
9.07400000000000012123635428906709421e-02,8.26750831214400112599445544587364327e-02
9.07499999999999973354647408996243030e-02,8.25443044355411314596321314987113909e-02
9.07599999999999934585659389085776638e-02,8.24158315545341877482619951992594125e-02
9.07700000000000034594549447319877800e-02,8.22896765298269342263666802418613788e-02
9.07799999999999995825561427409411408e-02,8.21586755924459241160583990414580281e-02
9.07899999999999957056573407498945016e-02,8.20255035757090291184114393746948790e-02
9.07999999999999918287585387588478625e-02,8.18946444084472062608453350902736895e-02
9.08100000000000018296475445822579786e-02,8.17661104571858805911634507803726360e-02
9.08199999999999979527487425912113395e-02,8.16399139637287134510383537835011119e-02
9.08299999999999940758499406001647003e-02,8.15097857670516564974105280722513648e-02
9.08399999999999901989511386091180611e-02,8.13765154488659446070770877779901347e-02
9.08500000000000001998401444325281773e-02,8.12455774825139032960902897641877297e-02
9.08599999999999963229413424414815381e-02,8.11169844322639550900114719619916567e-02
9.08699999999999924460425404504348990e-02,8.09907487345561161507252614445928918e-02
9.08799999999999885691437384593882598e-02,8.08614857286019599205735849812501064e-02
9.08899999999999985700327442827983759e-02,8.07281185233578814968035575125447972e-02
9.08999999999999946931339422917517368e-02,8.05971034634213946987962268577007041e-02
9.09099999999999908162351403007050976e-02,8.04684533152707735003713844145021375e-02
9.09199999999999869393363383096584585e-02,8.03421807143497080449406268257617074e-02
9.09299999999999969402253441330685746e-02,8.02137753520938078996249890113045062e-02
9.09399999999999930633265421420219354e-02,8.00803126911850989945902813185640199e-02
9.09500000000000030642155479654320516e-02,7.99492222668279157243647015700938045e-02
9.09599999999999853095289381599286571e-02,7.98205170523134016360568655792353485e-02
9.09700000000000091882057517977955285e-02,7.96942098865841279668026812412639209e-02
9.09800000000000053113069498067488894e-02,7.95666546236070617351333476441009552e-02
9.09900000000000014344081478157022502e-02,7.94330979556759429471821844486418805e-02
9.09999999999999975575093458246556111e-02,7.93019339201696165526919093582030321e-02
9.10100000000000075583983516480657272e-02,7.91731757019311940292573809523971831e-02
9.10199999999999898037117418425623327e-02,7.90468363480352037300849420600144635e-02
9.10299999999999998046007476659724489e-02,7.89201236421615980597817232006791416e-02
9.10399999999999959277019456749258097e-02,7.87864744333614786445424910734990139e-02
9.10500000000000059285909514983359259e-02,7.86552385645555956775838614643691746e-02
9.10599999999999881739043416928325314e-02,7.85264294370250431481961602591525585e-02
9.10699999999999981747933475162426475e-02,7.84000603107439212836559938203838196e-02
9.10799999999999942978945455251960084e-02,7.82741826216756075279364146684672249e-02
9.10900000000000042987835513486061245e-02,7.81404423559492173038100373461257283e-02
9.10999999999999865440969415431027301e-02,7.80091364567692339826515161340089016e-02
9.11099999999999965449859473665128462e-02,7.78802785468868259694453327296928164e-02
9.11199999999999926680871453754662070e-02,7.77538821040932034782152054975509026e-02
9.11299999999999887911883433844195679e-02,7.76288318930313625621845729328596043e-02
9.11399999999999849142895413933729287e-02,7.74950020724074136396642489357020254e-02
9.11499999999999949151785472167830449e-02,7.73636279713744683958564928714756536e-02
9.11599999999999910382797452257364057e-02,7.72347234393454315758544203433419463e-02
9.11699999999999871613809432346897665e-02,7.71083021769919123269546420885475360e-02
9.11799999999999971622699490580998827e-02,7.69840719062522778844429388886168964e-02
9.11899999999999932853711470670532435e-02,7.68501540511587057144094730539857026e-02
9.11999999999999894084723450760066044e-02,7.67187136029413206145586328482817677e-02
9.12099999999999855315735430849599652e-02,7.65897646430237985242094232897678035e-02
9.12199999999999955324625489083700813e-02,7.64633211001801181453011329183592339e-02
9.12300000000000055333515547317801975e-02,7.63688437094277574118201437661215659e-02
9.12399999999999877786649449262768030e-02,7.62773985037870285143252745041998642e-02
9.12499999999999977795539507496869192e-02,7.61861579868179591648922978128153912e-02
9.12600000000000077804429565730970353e-02,7.60844376516971547636897660040780261e-02
9.12700000000000039035441545820503961e-02,7.59835658554276076294155981636563374e-02
9.12800000000000000266453525910037570e-02,7.58853166032973760220119953056087258e-02
9.12899999999999961497465505999571178e-02,7.57897013716486589293207900715465899e-02
9.13000000000000061506355564233672339e-02,7.56967314155123299901409626536960482e-02
9.13100000000000022737367544323205948e-02,7.56064177632738797109758593672887224e-02
9.13199999999999983968379524412739556e-02,7.55187712114007696141237457456876378e-02
9.13299999999999945199391504502273165e-02,7.54338023192393828336102619805310924e-02
9.13400000000000045208281562736374326e-02,7.53515214038851228769393426135032519e-02
9.13500000000000006439293542825907934e-02,7.52719385351327229059481024375348388e-02
9.13599999999999967670305522915441543e-02,7.51950635305105187756132793951721834e-02
9.13699999999999928901317503004975151e-02,7.51074428488265230932247003969647242e-02
9.13800000000000028910207561239076313e-02,7.50189148021172546761861443759129157e-02
9.13899999999999990141219541328609921e-02,7.49305994249237842818333172503756308e-02
9.13999999999999951372231521418143529e-02,7.48424972989657103439178091318913164e-02
9.14099999999999912603243501507677138e-02,7.47546090074774791341153518253726939e-02
9.14200000000000012612133559741778299e-02,7.46669351351999767426540284327015200e-02
9.14299999999999973843145539831311908e-02,7.45794762683726854054506774575372561e-02
9.14399999999999935074157519920845516e-02,7.44922329947244555495861121797485121e-02
9.14499999999999896305169500010379124e-02,7.44052059034653257163682985614480746e-02
9.14599999999999996314059558244480286e-02,7.43183955852774429341923613977626013e-02
9.14699999999999957545071538334013894e-02,7.42318026323065351341929603399434916e-02
9.14799999999999918776083518423547503e-02,7.41454276381520061668906655346873542e-02
9.14899999999999880007095498513081111e-02,7.40592711978580616300430108078135330e-02
9.14999999999999980015985556747182272e-02,7.39906827259011542358716932829951430e-02
9.15100000000000080024875614981283434e-02,7.39420623115013444774383905172543548e-02
9.15199999999999902478009516926249489e-02,7.38962660391513727402975453345803977e-02
9.15300000000000002486899575160350651e-02,7.38533003694573377909432987227130862e-02
9.15400000000000102495789633394451812e-02,7.38131714475423465400025117550267837e-02
9.15500000000000063726801613483985420e-02,7.37758850997615167715439628064689303e-02
9.15600000000000024957813593573519029e-02,7.36907133345104984223565792661334126e-02
9.15699999999999986188825573663052637e-02,7.36056957853219145079252590317148339e-02
9.15800000000000086197715631897153798e-02,7.35209001562851982739005936961045614e-02
9.15900000000000047428727611986687407e-02,7.34363270526533514216064438548116644e-02
9.16000000000000008659739592076221015e-02,7.33519770810463791135058499926171463e-02
9.16099999999999969890751572165754624e-02,7.32678508494408090527090666735446992e-02
9.16200000000000069899641630399855785e-02,7.31839489671583189118122894807979347e-02
9.16299999999999892352775532344821841e-02,7.31002720448549915765627879350308460e-02
9.16399999999999992361665590578923002e-02,7.30275956365424239295076805660317298e-02
9.16499999999999953592677570668456610e-02,7.30055471420004962044630414861405243e-02
9.16600000000000053601567628902557772e-02,7.29863958080991290901608427155444505e-02
9.16699999999999876054701530847523827e-02,7.29701450851465727115868914522001206e-02
9.16799999999999976063591589081624988e-02,7.29082060468605043087957736332639829e-02
9.16899999999999937294603569171158597e-02,7.28252423767953695591513834081103712e-02
9.17000000000000037303493627405259758e-02,7.27425058930741684834703416003841430e-02
9.17099999999999859756627529350225814e-02,7.26599972132556188017153636405759332e-02
9.17199999999999959765517587584326975e-02,7.25777169561638142683094076108475704e-02
9.17299999999999920996529567673860583e-02,7.24956657418771832427472758246885251e-02
9.17400000000000021005419625907961745e-02,7.24138441917142755108424793909938480e-02
9.17499999999999843458553527852927800e-02,7.23322529282218616419042233686804047e-02
9.17599999999999943467443586087028962e-02,7.23148460426099141073188280914461393e-02
9.17699999999999904698455566176562570e-02,7.23142914083169394037687239128133651e-02
9.17800000000000004707345624410663731e-02,7.23075120301377245637147859982156290e-02
9.17899999999999827160479526355629787e-02,7.22261844243376681611995059258829994e-02
9.17999999999999927169369584589730948e-02,7.21450881284344547526887082754950516e-02
9.18100000000000027178259642823832110e-02,7.20642237690172332563416525389263422e-02
9.18199999999999988409271622913365718e-02,7.19835919738529293878226029621994148e-02
9.18299999999999949640283603002899326e-02,7.19031933718721183219323451171394509e-02
9.18400000000000049649173661237000488e-02,7.18230285931550282743957264350189167e-02
9.18500000000000010880185641326534096e-02,7.17430982689174456608902605790508696e-02
9.18599999999999972111197621416067705e-02,7.17293921294891944404726411765729675e-02
9.18699999999999933342209601505601313e-02,7.17448487777533154448710123442757078e-02
9.18800000000000033351099659739702474e-02,7.17189888376028868416471457137748988e-02
9.18899999999999994582111639829236083e-02,7.16393244371018840526524367210080148e-02
9.18999999999999955813123619918769691e-02,7.15598955354562853748653917523991906e-02
9.19099999999999917044135600008303300e-02,7.14807027676701165063645873667672821e-02
9.19200000000000017053025658242404461e-02,7.14017467698273247151635475657404138e-02
9.19299999999999978284037638331938069e-02,7.13230281790767756461497044901596035e-02
9.19399999999999939515049618421471678e-02,7.12445476336159436864373960383179524e-02
9.19499999999999900746061598511005286e-02,7.12036545512325927513448666602023391e-02
9.19600000000000000754951656745106447e-02,7.12324003618242187435216554100732546e-02
9.19699999999999961985963636834640056e-02,7.12210237289224325369777627715687335e-02
9.19799999999999923216975616924173664e-02,7.11428110514565549887542630670756634e-02
9.19899999999999884447987597013707273e-02,7.10648374811862023241903241357223751e-02
9.19999999999999984456877655247808434e-02,7.09871036598592893601531247315791948e-02
9.20099999999999945687889635337342042e-02,7.09096102302130020506976879683116566e-02
9.20199999999999906918901615426875651e-02,7.08323578359564561486426617781227315e-02
9.20300000000000006927791673660976812e-02,7.07553471217541121247032469894274159e-02
9.20399999999999968158803653750510421e-02,7.07385293451881950829811029678065308e-02
9.20499999999999929389815633840044029e-02,7.07807521386118407659455334030390306e-02
9.20600000000000029398705692074145190e-02,7.07323958166732878527619428443085998e-02
9.20699999999999851851839594019111246e-02,7.06556549907184913660368324396487661e-02
9.20799999999999951860729652253212407e-02,7.05791569233828658726382133544826001e-02
9.20900000000000051869619710487313569e-02,7.05029022626224528263660351139160365e-02
9.21000000000000013100631690576847177e-02,7.06331305949562135797958109177182596e-02
9.21099999999999974331643670666380785e-02,7.05566595581148692055712646429820158e-02
9.21200000000000074340533728900481947e-02,7.04804317157658033183345236719745304e-02
9.21300000000000035571545708990015555e-02,7.06110044624501989248918737899078883e-02
9.21399999999999996802557689079549164e-02,7.05345601411242669646576361690662317e-02
9.21499999999999958033569669169082772e-02,7.04583588031654729871445781336318764e-02
9.21600000000000058042459727403183933e-02,7.05407307602173360503236294613498490e-02
9.21699999999999880495593629348149989e-02,7.05128575915303601420521430078509003e-02
9.21799999999999980504483687582251150e-02,7.04366824474968541067942627833984449e-02
9.21899999999999941735495667671784759e-02,7.04677315064024169379803284948658688e-02
9.22000000000000041744385725905885920e-02,7.04915508274830570678255785688695986e-02
9.22099999999999864197519627850851975e-02,7.04154015704593344023113206809581415e-02
9.22199999999999964206409686084953137e-02,7.04079888353161672632355939575827916e-02
9.22299999999999925437421666174486745e-02,7.04706387661600700542283814951317911e-02
9.22400000000000025446311724408587907e-02,7.03945150927713666467845744112655566e-02
9.22499999999999847899445626353553962e-02,7.03614942236567519939396153129254710e-02
9.22599999999999947908335684587655123e-02,7.04501203237619722936439473186461045e-02
9.22699999999999909139347664677188732e-02,7.03740219341682627079966579050959632e-02
9.22799999999999870370359644766722340e-02,7.03282316974389944080343102853279856e-02
9.22899999999999831601371624856255949e-02,7.04299944155105125133469020541689713e-02
9.22999999999999931610261683090357110e-02,7.03539210133977513901856404383343456e-02
9.23100000000000031619151741324458271e-02,7.03081778377066043966561590218744298e-02
9.23199999999999854072285643269424327e-02,7.04102599556452112580940454437831638e-02
9.23299999999999954081175701503525488e-02,7.03342112482186787725368693449434795e-02
9.23400000000000054090065759737626649e-02,7.03013018072248097202617101551325339e-02
9.23500000000000154098955817971727811e-02,7.03909158574219408657005655164535883e-02
9.23599999999999976552089719916693866e-02,7.03148915553985246357595314481049452e-02
9.23699999999999937783101700006227475e-02,7.03075653980300648767389972358753534e-02
9.23800000000000037791991758240328636e-02,7.03719610331120051909053544607792914e-02
9.23899999999999999023003738329862244e-02,7.02959608507120538658715489353115908e-02
9.23999999999999960254015718419395853e-02,7.03269230995752611826272238922745363e-02
9.24099999999999921485027698508929461e-02,7.03533943939997109339173079713525601e-02
9.24200000000000021493917756743030623e-02,7.02774180489403628500225866958104939e-02
9.24299999999999982724929736832564231e-02,7.03593221870776889499155289439902670e-02
9.24399999999999943955941716922097839e-02,7.03352148503829728991188787468378250e-02
9.24499999999999905186953697011631448e-02,7.02592620638705298661390311959739008e-02
9.24600000000000005195843755245732609e-02,7.03935915413343102184627114609678149e-02
9.24699999999999966426855735335266218e-02,7.03174213115733574747736327238411738e-02
9.24799999999999927657867715424799826e-02,7.02590555052214983087397096421034041e-02
9.24899999999999888888879695514333434e-02,7.03761597052554186199311491180386555e-02
9.24999999999999988897769753748434596e-02,7.03000126858963034096181809661873873e-02
9.25099999999999950128781733837968204e-02,7.03355748141614997708379370013648623e-02
9.25199999999999911359793713927501813e-02,7.03591119590847614522790332484874503e-02
9.25299999999999872590805694017035421e-02,7.02829878806923625138778261200877105e-02
9.25399999999999972599695752251136582e-02,7.04187880853247679301634826301106200e-02
9.25499999999999933830707732340670191e-02,7.03424472057288699394373984412705652e-02
9.25599999999999895061719712430203799e-02,7.03417691950431442681868322226909812e-02
9.25699999999999856292731692519737408e-02,7.04024826179473226411409511447848916e-02
9.25799999999999956301621750753838569e-02,7.03261643471202461949342555353670240e-02
9.25900000000000056310511808987939730e-02,7.04618680764543511813001176587030061e-02
9.25999999999999878763645710932905786e-02,7.03865582064719624046569237081499075e-02
9.26099999999999978772535769167006947e-02,7.04230191440927916551349286509417388e-02
9.26200000000000078781425827401108108e-02,7.04475258113029700543563122959017199e-02
9.26300000000000040012437807490641717e-02,7.04103734475807052477582123852526497e-02
9.26400000000000001243449787580175325e-02,7.05090655834004055747606535573597853e-02
9.26499999999999962474461767669708934e-02,7.04323381683798988465600815948125754e-02
9.26600000000000062483351825903810095e-02,7.05711759355669598317575649520218748e-02
9.26700000000000023714363805993343703e-02,7.04942339603623781139634472457063709e-02
9.26799999999999984945375786082877312e-02,7.06101553551759226070526757002603058e-02
9.26899999999999946176387766172410920e-02,7.05566995279407592979490821060352245e-02
9.27000000000000046185277824406512082e-02,7.06675503460902133737158222325041091e-02
9.27100000000000007416289804496045690e-02,7.06213602268649413298784958957011267e-02
9.27199999999999968647301784585579298e-02,7.07509229756635417418083481132087012e-02
9.27299999999999929878313764675112907e-02,7.07391270439846457921418083435400484e-02
9.27400000000000029887203822909214068e-02,7.08252910954767463018799054529926412e-02
9.27499999999999991118215802998747677e-02,7.08826525222305089868621478220063704e-02
9.27599999999999952349227783088281285e-02,7.09507797591025676198105474612431207e-02
9.27699999999999913580239763177814893e-02,7.10517634494596099041412146942416428e-02
9.27799999999999874811251743267348502e-02,7.11538650343979343474551584569852152e-02
9.27899999999999974820141801501449663e-02,7.12462602172798725981221421754183591e-02
9.27999999999999936051153781590983272e-02,7.13416138059606816165096687318774618e-02
9.28099999999999897282165761680516880e-02,7.14399158430273815613024583285529427e-02
9.28199999999999858513177741770050488e-02,7.15411560542716263806708140723727007e-02
9.28299999999999958522067800004151650e-02,7.16424572507659061498222580584285008e-02
9.28399999999999919753079780093685258e-02,7.17351644458565676774407802749333558e-02
9.28500000000000019761969838327786420e-02,7.18308173294480630797900682406135327e-02
9.28599999999999842215103740272752475e-02,7.19294060226810667559984147002773757e-02
9.28700000000000081001871876651421189e-02,7.20309203348667748344248661836943191e-02
9.28799999999999903455005778596387245e-02,7.21313507511272040141291727622548705e-02
9.28900000000000003463895836830488406e-02,7.22243868870451360381653337547764033e-02
