Vz,periodicity error,period
-1.00000000000214815735729081969118681e-05,3.55070487941948470974593527851809537e-02,1.51810000000000009379164112033322453e+01
-9.00000000002148098355008593030035513e-06,3.55070446256212854214635820456125640e-02,1.51810000000000009379164112033322453e+01
-8.00000000002148039352726366368884214e-06,3.55070408958445957182609371686825190e-02,1.51810000000000009379164112033322453e+01
-7.00000000002148065053738865137766822e-06,3.55070376048648930026816925497897890e-02,1.51810000000000009379164112033322453e+01
-6.00000000002148175458046089336683337e-06,3.55070347526822787584468395120617931e-02,1.51810000000000009379164112033322453e+01
-5.00000000002148201159058588105565946e-06,3.55070323392968409381491689225184268e-02,1.51810000000000009379164112033322453e+01
-4.00000000002148057453481636014380740e-06,3.55070303647086539632444276242013850e-02,1.51810000000000009379164112033322453e+01
-3.00000000002148125506141497498280302e-06,3.55070288289177787240414385849837532e-02,1.51810000000000009379164112033322453e+01
-2.00000000002148024152211908122112050e-06,3.55070277319242625796689170507001065e-02,1.51810000000000009379164112033322453e+01
-1.00000000002148134556519132321028565e-06,3.55070270737281393580906831532627778e-02,1.51810000000000009379164112033322453e+01
-2.14807555423690565987726586172357202e-17,3.55070268543294293560826307257913923e-02,1.51810000000000009379164112033322453e+01
9.99999999978519834480453210012740328e-07,3.55070270737281393392392829757530912e-02,1.51810000000000009379164112033322453e+01
1.99999999997851873043738096802357518e-06,3.55070277319242625419661172815698799e-02,1.51810000000000009379164112033322453e+01
2.99999999997851974397667686178525770e-06,3.55070288289177786674872403882046550e-02,1.51810000000000009379164112033322453e+01
3.99999999997851821641713099264592302e-06,3.55070303647086538878373460341333631e-02,1.51810000000000009379164112033322453e+01
4.99999999997852050050584776785811414e-06,3.55070323392968408438921796698962045e-02,1.51810000000000009379164112033322453e+01
5.99999999997852109052867003446962713e-06,3.55070347526822786453406888674055413e-02,1.51810000000000009379164112033322453e+01
6.99999999997851913945265053818012291e-06,3.55070376048648928707219238703175191e-02,1.51810000000000009379164112033322453e+01
7.99999999997851888244252555049129683e-06,3.55070408958445955674497846198104946e-02,1.51810000000000009379164112033322453e+01
8.99999999997851947246534781710280981e-06,3.55070446256212852518010502533832243e-02,1.51810000000000009379164112033322453e+01
9.99999999997852006248817008371432280e-06,3.55070487941948469089454469858965419e-02,1.51810000000000009379164112033322453e+01
