23Ry,1Rx,periodicity error,period
-1.00000000000000002081668171172168513e-02,-1.00000000000000002081668171172168513e-02,7.38862357683572144833151957339880636e-01,2.21980000000000003979039320256561041e+01
-1.00000000000000002081668171172168513e-02,-9.00000000000000105471187339389871340e-03,6.89675014366661738754696484893413616e-01,2.25030000000000001136868377216160297e+01
-1.00000000000000002081668171172168513e-02,-8.00000000000000016653345369377348106e-03,6.02333908503194509167877131350934339e-01,2.89400000000000012789769243681803346e+01
-1.00000000000000002081668171172168513e-02,-7.00000000000000014571677198205179593e-03,5.21696861892940650807225642740928455e-01,3.54489999999999980673237587325274944e+01
-1.00000000000000002081668171172168513e-02,-6.00000000000000012490009027033011080e-03,3.94767995024725812697299764956040909e-01,4.84209999999999993747223925311118364e+01
-1.00000000000000002081668171172168513e-02,-5.00000000000000010408340855860842566e-03,2.37142578395297097917508104564156489e-01,5.50519999999999996020960679743438959e+01
-1.00000000000000002081668171172168513e-02,-4.00000000000000008326672684688674053e-03,8.28618013379168078513524009908064467e-02,6.17820000000000035811353882309049368e+01
-1.00000000000000002081668171172168513e-02,-3.00000000000000006245004513516505540e-03,1.95899769604030371993263544410608375e-01,6.85679999999999978399500832892954350e+01
-1.00000000000000002081668171172168513e-02,-2.00000000000000004163336342344337027e-03,6.87931849761504723210301411088132718e-02,6.27379999999999995452526491135358810e+01
-1.00000000000000002081668171172168513e-02,-1.00000000000000002081668171172168513e-03,1.98547654114820890859768683645916362e-01,5.67370000000000018758328224066644907e+01
-1.00000000000000002081668171172168513e-02,0.00000000000000000000000000000000000e+00,3.26814123994363465595161644684523539e-01,5.06420000000000030127011996228247881e+01
-1.00000000000000002081668171172168513e-02,1.00000000000000002081668171172168513e-03,4.55630267845536853850556651266979703e-01,4.45949999999999988631316227838397026e+01
-1.00000000000000002081668171172168513e-02,2.00000000000000004163336342344337027e-03,5.78814422108558707661974429167067708e-01,3.84860000000000042064129956997931004e+01
-1.00000000000000002081668171172168513e-02,3.00000000000000006245004513516505540e-03,6.50888564195369690970511836349016528e-01,3.22340000000000017621459846850484610e+01
-1.00000000000000002081668171172168513e-02,4.00000000000000008326672684688674053e-03,6.70852018587119613995006821508702407e-01,2.59759999999999990905052982270717621e+01
-1.00000000000000002081668171172168513e-02,5.00000000000000010408340855860842566e-03,7.41607076499485109381377903210129080e-01,2.62149999999999998578914528479799628e+01
-1.00000000000000002081668171172168513e-02,6.00000000000000012490009027033011080e-03,7.56803834250195574408058715922413220e-01,1.99610000000000020747847884194925427e+01
-1.00000000000000002081668171172168513e-02,7.00000000000000014571677198205179593e-03,7.78932958199793566201058557271262420e-01,5.69190000000000040358827391173690557e+01
-1.00000000000000002081668171172168513e-02,8.00000000000000016653345369377348106e-03,7.29960967300119500138475590199335345e-01,5.07210000000000036379788070917129517e+01
-1.00000000000000002081668171172168513e-02,9.00000000000000105471187339389871340e-03,7.09507216603761553233423200367446997e-01,4.42079999999999984083842718973755836e+01
-1.00000000000000002081668171172168513e-02,1.00000000000000002081668171172168513e-02,6.97297733640277271588718900772313149e-01,4.46670000000000015916157281026244164e+01
-9.00000000000000105471187339389871340e-03,-1.00000000000000002081668171172168513e-02,7.57548850667509364189008897630621727e-01,2.22500000000000000000000000000000000e+01
-9.00000000000000105471187339389871340e-03,-9.00000000000000105471187339389871340e-03,6.87537694027145379399851807882716217e-01,2.25049999999999990052401699358597398e+01
-9.00000000000000105471187339389871340e-03,-8.00000000000000016653345369377348106e-03,6.17929368020526832839433731278414973e-01,2.89939999999999997726263245567679405e+01
-9.00000000000000105471187339389871340e-03,-7.00000000000000014571677198205179593e-03,5.40400294749888743340820305375534325e-01,3.55129999999999981241671775933355093e+01
-9.00000000000000105471187339389871340e-03,-6.00000000000000012490009027033011080e-03,4.29119979276998413557172953994760853e-01,4.21349999999999980104803398717194796e+01
-9.00000000000000105471187339389871340e-03,-5.00000000000000010408340855860842566e-03,2.69326879674327475628620137434914227e-01,5.51390000000000028990143619012087584e+01
-9.00000000000000105471187339389871340e-03,-4.00000000000000008326672684688674053e-03,1.00029261926919788010227503177559384e-01,6.18689999999999997726263245567679405e+01
-9.00000000000000105471187339389871340e-03,-3.00000000000000006245004513516505540e-03,1.22952350322942310292215158270659402e-01,6.23310000000000030695446184836328030e+01
-9.00000000000000105471187339389871340e-03,-2.00000000000000004163336342344337027e-03,7.23092868296087230903556527553448622e-02,6.28160000000000025011104298755526543e+01
-9.00000000000000105471187339389871340e-03,-1.00000000000000002081668171172168513e-03,1.55783452494495005988040413830098318e-01,6.32800000000000011368683772161602974e+01
-9.00000000000000105471187339389871340e-03,0.00000000000000000000000000000000000e+00,3.05372430330200918203837751698253553e-01,5.07349999999999994315658113919198513e+01
-9.00000000000000105471187339389871340e-03,1.00000000000000002081668171172168513e-03,4.35087595534424309908284185651243256e-01,4.46750000000000042632564145606011152e+01
-9.00000000000000105471187339389871340e-03,2.00000000000000004163336342344337027e-03,5.59743785408186061321914934977047272e-01,3.85579999999999998294697434175759554e+01
-9.00000000000000105471187339389871340e-03,3.00000000000000006245004513516505540e-03,6.34642147013176842759180570860702829e-01,3.22980000000000018189894035458564758e+01
-9.00000000000000105471187339389871340e-03,4.00000000000000008326672684688674053e-03,6.66867918837633524153035734096881869e-01,2.60019999999999988915533322142437100e+01
-9.00000000000000105471187339389871340e-03,5.00000000000000010408340855860842566e-03,7.24843713680640962969600318113982056e-01,2.62729999999999996873611962655559182e+01
-9.00000000000000105471187339389871340e-03,6.00000000000000012490009027033011080e-03,7.43745237521859312404291592748820926e-01,2.00120000000000004547473508864641190e+01
-9.00000000000000105471187339389871340e-03,7.00000000000000014571677198205179593e-03,7.68168497003200595454384591680678261e-01,5.69720000000000013073986337985843420e+01
-9.00000000000000105471187339389871340e-03,8.00000000000000016653345369377348106e-03,7.36261181294827154753757170299240085e-01,5.07980000000000018189894035458564758e+01
-9.00000000000000105471187339389871340e-03,9.00000000000000105471187339389871340e-03,7.21738401383324465947012644444624812e-01,4.42710000000000007958078640513122082e+01
-9.00000000000000105471187339389871340e-03,1.00000000000000002081668171172168513e-02,6.95823649266132054819457580926996746e-01,4.47040000000000006252776074688881636e+01
-8.00000000000000016653345369377348106e-03,-1.00000000000000002081668171172168513e-02,7.66282071784435053200003816926976107e-01,1.62089999999999996305177774047479033e+01
-8.00000000000000016653345369377348106e-03,-9.00000000000000105471187339389871340e-03,6.92463400815602248086917694913966772e-01,2.25279999999999986926013662014156580e+01
