Vz,periodicity error,period
-1.01410000000000027897684162780933548e-01,8.88349959269512900241127401737225569e-02,6.47259999999999990905052982270717621e+01
-9.14100000000000190158999657796812244e-02,7.59891451274397313245523272993461392e-02,7.09899999999999948840923025272786617e+01
-8.14100000000000378896913844073424116e-02,1.43532831849659254378786791766509506e-01,7.73290000000000077307049650698900223e+01
-7.14100000000000290079071874060900882e-02,3.78351698803291507926322644516247992e-01,7.71520000000000010231815394945442677e+01
-6.14100000000000340039107982192945201e-02,4.23387482941461951048677640672987316e-01,2.38500000000000023092638912203256041e+00
-5.14100000000000320610205051252705744e-02,3.58829836268351066817493006239024035e-01,2.36100000000000020961010704922955483e+00
-4.14100000000000162403424042167898733e-02,2.91950719221615583092482957399320550e-01,2.33899999999999996802557689079549164e+00
-3.14100000000000281752399189372226829e-02,2.23189070738628913982001148966524395e-01,2.31999999999999984012788445397745818e+00
-2.14100000000000123545618180287419818e-02,1.53001059084246809206734839192900397e-01,2.30600000000000004973799150320701301e+00
-1.14100000000000242894593327491747914e-02,8.18533922759492369420805897149628791e-02,2.29700000000000015276668818842153996e+00
-1.41000000000002234656903965515084565e-03,3.58848999729662137640507880631183721e-02,1.51799999999999997157829056959599257e+01
8.58999999999998653521515734610147774e-03,6.18188289788719153757578173804810752e-02,2.28900000000000014566126083082053810e+00
1.85899999999999676614237387184402905e-02,1.33013968093153371251093375912076318e-01,2.30299999999999993605115378159098327e+00
2.85899999999999834821018396269209916e-02,2.03520375753699288633042583611899727e-01,2.31599999999999983657517077517695725e+00
3.85899999999999646083104209992598044e-02,2.72731030779415763336156011270611462e-01,2.33300000000000018474111129762604833e+00
4.85899999999999873678824258149688831e-02,3.40186659976251598283382929628360535e-01,2.35400000000000009237055564881302416e+00
5.85899999999999962496666228162212064e-02,4.05441002940033675832823855169236912e-01,2.37800000000000011368683772161602974e+00
6.85899999999999843147691080957883969e-02,4.68091604256100708132893321541409751e-01,2.40300000000000002486899575160350651e+00
7.85899999999999931965533050970407203e-02,1.95943960113576566857969023191066672e-01,7.72669999999999959072738420218229294e+01
8.85899999999999743227618864693795331e-02,9.23305295684125203947227994836286920e-02,7.74630000000000080717654782347381115e+01
9.85899999999999832045460834706318565e-02,6.61798838385777851828782948061694846e-02,6.46629999999999967030817060731351376e+01
