Vz,periodicity error,period
9.86900000000000166840803325629671860e-02,6.54749313160815856647148241864160359e-02,6.46629999999999967030817060731351376e+01
9.87000000000000166832042972075988985e-02,6.54226916054956635311971771921667150e-02,6.46629999999999967030817060731351376e+01
9.87100000000000166823282618522306109e-02,6.53738128191756747975742413160433194e-02,6.46629999999999967030817060731351376e+01
9.87200000000000166814522264968623233e-02,6.53660045975601972834143433479021645e-02,6.46629999999999967030817060731351376e+01
9.87300000000000166805761911414940357e-02,6.53295134753545854386019014086391440e-02,6.46640000000000014779288903810083866e+01
9.87400000000000166797001557861257481e-02,6.53510517134665359061846125101770984e-02,6.46640000000000014779288903810083866e+01
9.87500000000000166923766475868262660e-02,6.53499890564087095236979893429156336e-02,6.46650000000000062527760746888816357e+01
9.87600000000000166779480850753891730e-02,6.53622386348114757197946352682177414e-02,6.46650000000000062527760746888816357e+01
9.87700000000000166906245768760896908e-02,6.53710270377984581507711923284187826e-02,6.46659999999999968167685437947511673e+01
9.87800000000000166829722779426870005e-02,6.53995391131741483268682741285654755e-02,6.46659999999999968167685437947511673e+01
9.87900000000000166888725061653531156e-02,6.53926267886352790263827121298892695e-02,6.46670000000000015916157281026244164e+01
9.88000000000000167015489979660536335e-02,6.54628953688486627615514143642081586e-02,6.46670000000000015916157281026244164e+01
9.88100000000000166871204354546165405e-02,6.54414928578753004099083640900517644e-02,6.46680000000000063664629124104976654e+01
9.88200000000000166997969272553170583e-02,6.54992656697802540348817196981118521e-02,6.46689999999999969304553815163671970e+01
9.88300000000000166718158375878111599e-02,6.55657664983564878812716982476195601e-02,6.46689999999999969304553815163671970e+01
9.88400000000000166980448565445804832e-02,6.56266148856982716048153216392441193e-02,6.46700000000000017053025658242404461e+01
9.88500000000000166971688211892121956e-02,6.57157518023945318342782228767430254e-02,6.46700000000000017053025658242404461e+01
9.88600000000000166962927858338439080e-02,6.58082560314906962726923441929570296e-02,6.46700000000000017053025658242404461e+01
9.88700000000000166954167504784756204e-02,6.58912587164965239277397921477322529e-02,6.46710000000000064801497501321136951e+01
9.88800000000000166945407151231073328e-02,6.59746419762888960271890611096387031e-02,6.46710000000000064801497501321136951e+01
9.88900000000000166936646797677390452e-02,6.60613996849580825262885130306062467e-02,6.46710000000000064801497501321136951e+01
