Vz,periodicity error,period
8.85900000000000107519548819823285157e-02,9.23305295684128552490905495147469230e-02,7.74630000000000080717654782347381115e+01
8.95900000000000116401333016824537481e-02,9.77740793942099495874233283082366420e-02,7.09639999999999986357579473406076431e+01
9.05900000000000107935882454057718860e-02,8.35050099329330711881518856649638663e-02,7.09830000000000040927261579781770706e+01
9.15900000000000099470431891290900239e-02,7.45751857684330190532900977388114730e-02,7.09920000000000044337866711430251598e+01
9.25900000000000108352216088292152563e-02,6.99252821358185561678021727349947454e-02,7.10139999999999957935870043002068996e+01
9.35900000000000117234000285293404886e-02,7.43333272216756496944396060925576674e-02,7.10460000000000064801497501321136951e+01
9.45900000000000117442167102410621737e-02,8.34348698105325141312773458938786688e-02,7.10679999999999978399500832892954350e+01
9.55900000000000100303099159759767645e-02,9.26688688380129370320595216314479842e-02,7.10900000000000034106051316484808922e+01
9.65900000000000109184883356761019968e-02,9.02972647240163974893755879730950849e-02,6.46239999999999952251528156921267509e+01
9.75900000000000109393050173878236819e-02,7.79819984185536093959702018089329741e-02,6.46440000000000054569682106375694275e+01
9.85900000000000109601216990995453671e-02,6.61798838385775440580643926612964847e-02,6.46629999999999967030817060731351376e+01
9.95900000000000118483001187996705994e-02,7.22256738521690827824211558071272423e-02,6.46860000000000070485839387401938438e+01
1.00590000000000011001755062522988737e-01,8.12647090438072938531917307185914113e-02,6.47079999999999984083842718973755836e+01
1.01590000000000011889933482223113970e-01,9.05137725956346411950281246923252909e-02,6.47300000000000039790393202565610409e+01
1.02590000000000009308664949969625013e-01,9.99376596564026433172716770394373712e-02,6.47519999999999953388396534137427807e+01
1.03590000000000010196843369669750246e-01,9.54038415531780178767545216937276532e-02,5.82280000000000015347723092418164015e+01
1.04590000000000011085021789369875478e-01,8.54988328692588684610309910364215142e-02,5.82480000000000046611603465862572193e+01
1.05590000000000011105838471081597163e-01,8.25028808233932859506007326801041930e-02,5.82599999999999980104803398717194796e+01
1.06590000000000012861378628770125943e-01,8.97137018494472395837068564526767869e-02,5.82809999999999988062882039230316877e+01
1.07590000000000010280110096516636986e-01,9.73943576702268891381053561896833446e-02,5.83030000000000043769432522822171450e+01
1.08590000000000011168288516216762218e-01,1.05417233489107147524465610880530198e-01,5.83239999999999980673237587325274944e+01
