Vz,periodicity error,period
-9.01409999999999989039878300900454633e-01,1.34394578451283769435288995484145840e+00,5.69070000000000035811353882309049368e+01
-8.01409999999999900222036330887931399e-01,1.60837339640042453371946605922634294e+00,2.02040000000000006252776074688881636e+01
-7.01410000000000033448799285906716250e-01,1.22592317243444280354472330786791909e+00,3.06790000000000020463630789890885353e+01
-6.01409999999999944630957315894193016e-01,1.08856597054148426434431184953928344e+00,3.11240000000000023305801732931286097e+01
-5.01410000000000077857720270912977867e-01,1.53476436713849684694206662292912416e+00,3.64300000000000023803181647963356227e+00
-4.01409999999999989039878300900454633e-01,1.05653757639968692137628586029794676e+00,1.23350000000000008526512829121202230e+01
-3.01409999999999955733187562145758420e-01,4.90740975296088590179831205196248714e-01,3.47449999999999974420461512636393309e+01
-2.01410000000000033448799285906716250e-01,1.37753148924756765547576473409204365e-01,2.07899999999999991473487170878797770e+01
-1.01409999999999944630957315894193016e-01,8.88349959269505371617213393468259754e-02,6.47259999999999990905052982270717621e+01
-1.41000000000002234656903965515084565e-03,3.58848999729662137640507880631183721e-02,1.51799999999999997157829056959599257e+01
9.85900000000000109601216990995453671e-02,6.61798838385775440580643926612964847e-02,6.46629999999999967030817060731351376e+01
1.98590000000000099777963669112068601e-01,1.29043009705314216032819421468994080e-01,2.07110000000000020747847884194925427e+01
2.98589999999999966551200714093283750e-01,4.98548521886455422483745144013810434e-01,3.45900000000000034106051316484808922e+01
3.98590000000000055369042684105806984e-01,9.32973722560151289758983081112932172e-01,7.31719999999999970441422192379832268e+01
4.98589999999999922142279729087022133e-01,1.03049873864969000810076971693128932e+00,2.39900000000000019895196601282805204e+01
5.98590000000000010960121699099545367e-01,6.08937808687159482503187390231706701e-01,6.71380000000000052295945351943373680e+01
6.98590000000000099777963669112068601e-01,1.60517251674966528167483037100261730e+00,3.48909999999999982378540153149515390e+01
7.98589999999999966551200714093283750e-01,1.62334731520900905578326586762394255e+00,1.92660000000000017905676941154524684e+01
8.98590000000000055369042684105806984e-01,1.33252040359284730446702849918532471e+00,5.56390000000000028990143619012087584e+01
9.98589999999999922142279729087022133e-01,4.28481498899079603999967228849097803e+00,2.84020000000000010231815394945442677e+01
1.09859000000000001096012169909954537e+00,1.38916903233485488719919805775077477e+01,1.00000000000000002081668171172168513e-03
