Vz,periodicity error,period
9.86900000000000166840803325629671860e-02,6.46839730821967699218175340284722310e-02,6.55580000000000069348971010185778141e+01
9.87000000000000166832042972075988985e-02,6.45980368705129488273526864305520307e-02,6.55580000000000069348971010185778141e+01
9.87100000000000166823282618522306109e-02,6.45154431061195364521370132629989885e-02,6.55580000000000069348971010185778141e+01
9.87200000000000166814522264968623233e-02,6.44362060378193182009136335336567151e-02,6.55580000000000069348971010185778141e+01
9.87300000000000166805761911414940357e-02,6.43603394528028104705199863699957761e-02,6.55580000000000069348971010185778141e+01
9.87400000000000166797001557861257481e-02,6.42878566665853760724439382778282172e-02,6.55580000000000069348971010185778141e+01
9.87500000000000166923766475868262660e-02,6.42187705132141088286304604315204727e-02,6.55580000000000069348971010185778141e+01
9.87600000000000166779480850753891730e-02,6.41530933357602068063737399705852626e-02,6.55580000000000069348971010185778141e+01
9.87700000000000166906245768760896908e-02,6.41133704483574173256760484309387733e-02,6.55580000000000069348971010185778141e+01
9.87800000000000166829722779426870005e-02,6.41545215734821385131232893380336397e-02,6.55589999999999974988895701244473457e+01
9.87900000000000166888725061653531156e-02,6.41575909482242559906855539089308324e-02,6.55589999999999974988895701244473457e+01
9.88000000000000167015489979660536335e-02,6.41659653993738862213767784792021105e-02,6.55600000000000022737367544323205948e+01
9.88100000000000166871204354546165405e-02,6.42277616156126140254423485382159510e-02,6.55600000000000022737367544323205948e+01
9.88200000000000166997969272553170583e-02,6.42249326482166438187129682696932560e-02,6.55610000000000070485839387401938438e+01
9.88300000000000166718158375878111599e-02,6.42696783606257762983817764388249477e-02,6.55619999999999976125764078460633755e+01
9.88400000000000166980448565445804832e-02,6.43558690127334992225415482874057804e-02,6.55619999999999976125764078460633755e+01
9.88500000000000166971688211892121956e-02,6.44354016279753009236865370367303786e-02,6.55630000000000023874235921539366245e+01
9.88600000000000166962927858338439080e-02,6.45123721008991868979079642324034984e-02,6.55630000000000023874235921539366245e+01
9.88700000000000166954167504784756204e-02,6.45928265950701560544422110296223814e-02,6.55630000000000023874235921539366245e+01
9.88800000000000166945407151231073328e-02,6.46767538675701979796506550157738566e-02,6.55630000000000023874235921539366245e+01
9.88900000000000166936646797677390452e-02,6.47641421651101604410454745851138187e-02,6.55630000000000023874235921539366245e+01
