x cord,y cord,z cord,periodicity error
1.08105966433283384731112164445221424e+00,-1.50016110399993636489933651438632989e-02,0.00000000000000000000000000000000000e+00,4.34550668396128334305423772024467723e-04
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,-5.00000000000000010408340855860842566e-04,1.55589313108773861611666038203446266e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,-4.00000000000000019168694409543718393e-04,1.48202962275445851360099491801213350e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,-2.99999999999999973718939338951372520e-04,1.42002487198106853994720477137403349e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,-2.00000000000000009584347204771859197e-04,1.36282866175940081091726759852603231e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,-1.00000000000000004792173602385929598e-04,1.31106764573897675100611253886246377e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,0.00000000000000000000000000000000000e+00,1.26540579547424121735945546307765581e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,1.00000000000000004792173602385929598e-04,1.22283065720956162297840293625806879e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,2.00000000000000009584347204771859197e-04,1.18695074238599218427282378266822288e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,2.99999999999999973718939338951372520e-04,1.16253128469300749064119060410034051e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,4.00000000000000019168694409543718393e-04,1.14191487076901600855330337711780384e-02
1.08055966433283384730071330359635340e+00,-1.55016110399993636594017059997241414e-02,5.00000000000000010408340855860842566e-04,1.12948218976479122667434328423796455e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,-5.00000000000000010408340855860842566e-04,1.56001506302611132846094251137425280e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,-4.00000000000000019168694409543718393e-04,1.48788854156679779714253192327046607e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,-2.99999999999999973718939338951372520e-04,1.42592603393035966685863770995990062e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,-2.00000000000000009584347204771859197e-04,1.36640813771234005494181245783841941e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,-1.00000000000000004792173602385929598e-04,1.31423496174606335565144561328540632e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,0.00000000000000000000000000000000000e+00,1.26812139237062354866078809568612375e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,1.00000000000000004792173602385929598e-04,1.22544547945966293360761182812763578e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,2.00000000000000009584347204771859197e-04,1.19273367183443564062015521824820094e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,2.99999999999999973718939338951372520e-04,1.16392450277428307490626928414370973e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,4.00000000000000019168694409543718393e-04,1.14285873631351179377377455855902237e-02
1.08055966433283384730071330359635340e+00,-1.54016110399993636681620595534070173e-02,5.00000000000000010408340855860842566e-04,1.12996430036005745974705887883784132e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,-5.00000000000000010408340855860842566e-04,1.56422484060609050671625832577110371e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,-4.00000000000000019168694409543718393e-04,1.49217107866701156336447964322092983e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,-2.99999999999999973718939338951372520e-04,1.42987005961835458303239708957045412e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,-2.00000000000000009584347204771859197e-04,1.37233126633614191606678203870821058e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,-1.00000000000000004792173602385929598e-04,1.32017462196841485210508607365833782e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,0.00000000000000000000000000000000000e+00,1.27094192090882743118375585887949460e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,1.00000000000000004792173602385929598e-04,1.23107911946770297068504764124291052e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,2.00000000000000009584347204771859197e-04,1.19466591475778592793734426769718963e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,2.99999999999999973718939338951372520e-04,1.16868748338846596770735708788133138e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,4.00000000000000019168694409543718393e-04,1.14848306498933403471530924655767519e-02
1.08055966433283384730071330359635340e+00,-1.53016110399993636227123044828146714e-02,5.00000000000000010408340855860842566e-04,1.13405980280091103767292027325404176e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,-5.00000000000000010408340855860842566e-04,1.56852307089834143314398322385484293e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,-4.00000000000000019168694409543718393e-04,1.49654556444429982931922842043090423e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,-2.99999999999999973718939338951372520e-04,1.43390952842876958423734948213643782e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,-2.00000000000000009584347204771859197e-04,1.37599949307188391887163316615629708e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,-1.00000000000000004792173602385929598e-04,1.32343306168908793435313975845138085e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,0.00000000000000000000000000000000000e+00,1.27686707570436138724100684415416287e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,1.00000000000000004792173602385929598e-04,1.23352050971323313405704456767687555e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,2.00000000000000009584347204771859197e-04,1.20050020195315645300982329192264192e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,2.99999999999999973718939338951372520e-04,1.17116992066798181418113620202797015e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,4.00000000000000019168694409543718393e-04,1.14952696912627130175688098973628022e-02
1.08055966433283384730071330359635340e+00,-1.52016110399993636585777123486351581e-02,5.00000000000000010408340855860842566e-04,1.13600550027848376198254756950568744e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,-5.00000000000000010408340855860842566e-04,1.57291034638096869273320348728615822e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,-4.00000000000000019168694409543718393e-04,1.50239536416172202087220089978396287e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,-2.99999999999999973718939338951372520e-04,1.43979653807801370996866464138781498e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,-2.00000000000000009584347204771859197e-04,1.38191380912023484069484755365675395e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,-1.00000000000000004792173602385929598e-04,1.32679464417277328753046806430500638e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,0.00000000000000000000000000000000000e+00,1.27978247388831034413527041244605680e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,1.00000000000000004792173602385929598e-04,1.23940562665292765350171850803337191e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,2.00000000000000009584347204771859197e-04,1.20253173044319073171284255604142927e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,2.99999999999999973718939338951372520e-04,1.17277584587108804958580652458662132e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,4.00000000000000019168694409543718393e-04,1.15227745129851919936031966160694373e-02
1.08055966433283384730071330359635340e+00,-1.51016110399993636537855387462492285e-02,5.00000000000000010408340855860842566e-04,1.13670167729962216760118354606794305e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,-5.00000000000000010408340855860842566e-04,1.57738724480832017884115284003101341e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,-4.00000000000000019168694409543718393e-04,1.50685627883839409646341571152382114e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,-2.99999999999999973718939338951372520e-04,1.44392466250635014407195455978567737e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,-2.00000000000000009584347204771859197e-04,1.38567308669450671827736034937545473e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,-1.00000000000000004792173602385929598e-04,1.33271236559567709524208661672171250e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,0.00000000000000000000000000000000000e+00,1.28446046463703910694935026212485682e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,1.00000000000000004792173602385929598e-04,1.24194559588181560119083739394841489e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,2.00000000000000009584347204771859197e-04,1.20770270462430745973502507764486413e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,2.99999999999999973718939338951372520e-04,1.17849577324401022679722989721601499e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,4.00000000000000019168694409543718393e-04,1.15627576938872643336534000165819723e-02
1.08055966433283384730071330359635340e+00,-1.50016110399993636489933651438632989e-02,5.00000000000000010408340855860842566e-04,1.14212687167382000002395282358037775e-02
1.08055966433283384730071330359635340e+00,-1.49016110399993636442011915414773693e-02,-5.00000000000000010408340855860842566e-04,1.58195432909216225718249650405452237e-02
1.08055966433283384730071330359635340e+00,-1.49016110399993636442011915414773693e-02,-4.00000000000000019168694409543718393e-04,1.51141081958867189826953686271852693e-02
