,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,2.750167205078924e-09,3.6632985533913143e-09,1.4850787266595944e-11,2.4424906541753444e-15,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2,0.0,-2.713429769762854e-08,1.367690760645246e-08,5.090061705459448e-11,5.773159728050814e-15,-2.220446049250313e-16,-5.551115123125783e-16,-2.220446049250313e-16,-2.220446049250313e-16
3,0.0,-3.311152252383209e-08,2.4889043048759163e-08,8.011347141234637e-11,8.43769498715119e-15,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,-5.551115123125783e-16
4,0.0,-3.918661062307649e-09,2.4531625619772512e-08,1.937603411050759e-10,2.864375403532904e-14,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
5,0.0,8.698803988238524e-08,7.959336967289232e-09,8.344271940075032e-10,2.278177646530821e-13,-2.220446049250313e-16,-3.3306690738754696e-16,-5.551115123125783e-16,-2.220446049250313e-16
6,0.0,1.1997720217316044e-07,6.578783517952047e-09,2.219090244892641e-09,6.723510637129948e-13,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
7,0.0,4.137529252545846e-08,6.282075970531764e-09,4.195712888233061e-09,1.3571366253017914e-12,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16
8,0.0,-1.7212185898785037e-08,5.908530331666384e-09,6.469144775422819e-09,2.263078613395919e-12,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
9,0.0,-1.594278420391504e-08,5.20632270628596e-09,8.601099610316965e-09,3.355760114231998e-12,2.220446049250313e-16,-2.220446049250313e-16,-5.551115123125783e-16,0.0
10,0.0,5.99634608633437e-09,2.3189379305676994e-09,1.0010128059789736e-08,4.586553359331447e-12,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,0.0
11,0.0,1.6981460015941252e-08,1.302888685827952e-09,1.0372741998665447e-08,5.891287457870931e-12,2.220446049250313e-16,-3.3306690738754696e-16,0.0,-2.220446049250313e-16
12,0.0,-9.765824482421692e-09,-4.6146797494373004e-10,1.1539516897585145e-08,7.191358619706989e-12,2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16,2.220446049250313e-16
13,0.0,-9.793922961520707e-08,-1.6841674721490563e-09,1.3716985325373798e-08,8.394174244585884e-12,4.440892098500626e-16,-3.3306690738754696e-16,-5.551115123125783e-16,-2.220446049250313e-16
14,0.0,-1.2870888821403526e-07,-5.036538519576084e-09,1.6597234475668188e-08,9.39182065451405e-12,8.881784197001252e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
15,0.0,-5.452159390628708e-08,-6.9453001128039205e-09,1.9719093691250578e-08,1.0060619004548244e-11,4.440892098500626e-16,-2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16
16,0.0,3.9975539101178015e-08,-1.1134972832671508e-08,2.2468088500815497e-08,1.0272227513041798e-11,6.661338147750939e-16,2.220446049250313e-16,-5.551115123125783e-16,4.440892098500626e-16
17,0.0,8.877532486906148e-09,-1.4011632964994192e-08,2.407639465573652e-08,1.0511591597150982e-11,1.1102230246251565e-15,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
18,0.0,-8.9890091148348e-08,-1.8976023419270405e-08,2.4466595638372723e-08,1.1120881993065268e-11,4.440892098500626e-16,-2.220446049250313e-16,-3.3306690738754696e-16,-3.3306690738754696e-16
19,0.0,-1.2033473606454237e-07,-2.2878818284333136e-08,2.5808444936714636e-08,1.2075673794242903e-11,6.661338147750939e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
20,0.0,-1.06282915690592e-07,-2.7571307237295173e-08,2.8118465111859337e-08,1.3334888748772755e-11,8.881784197001252e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
21,0.0,-8.750484070674247e-08,-3.3508566033013665e-08,3.10652132906597e-08,1.4842571616213718e-11,1.5543122344752192e-15,-2.220446049250313e-16,-5.551115123125783e-16,-2.220446049250313e-16
22,0.0,-8.659201189420429e-08,-4.080823468033401e-08,3.416395744082479e-08,1.652811221219963e-11,1.5543122344752192e-15,-2.220446049250313e-16,-3.3306690738754696e-16,2.220446049250313e-16
23,0.0,-1.2330023924089772e-07,-3.835343020952564e-08,3.6776613532296665e-08,1.830535723001958e-11,1.5543122344752192e-15,-2.220446049250313e-16,-2.220446049250313e-16,0.0
24,0.0,-1.8027896231398444e-07,-3.273144133508765e-08,3.8111677813645883e-08,2.007194410680313e-11,2.220446049250313e-15,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
25,0.0,-1.5901087324632357e-07,-3.209388166336424e-08,4.6868624981044604e-08,2.171063329114986e-11,1.9984014443252818e-15,-2.220446049250313e-16,-5.551115123125783e-16,-2.220446049250313e-16
26,0.0,-6.802258456506394e-08,-3.160338013508124e-08,4.408342180184377e-08,2.3090418466154006e-11,2.220446049250313e-15,-2.220446049250313e-16,-5.551115123125783e-16,2.220446049250313e-16
27,0.0,-2.5290925464993563e-08,-3.159280659303931e-08,4.415577814498306e-08,2.4061863612701018e-11,2.220446049250313e-15,-6.661338147750939e-16,-3.3306690738754696e-16,2.220446049250313e-16
28,0.0,-1.006594880781364e-07,-3.265114056905105e-08,4.603911230027791e-08,2.44626541245907e-11,2.220446049250313e-15,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16
29,0.0,-1.6304336536432373e-07,-3.3314094038949804e-08,4.8686506382011885e-08,2.4627411221445072e-11,2.4424906541753444e-15,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
30,0.0,-1.6554391357725962e-07,-3.354648980824493e-08,5.105070410849066e-08,2.5159874184055298e-11,2.6645352591003757e-15,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16
31,0.0,-1.435757172041363e-07,-3.3818902678284246e-08,5.2084106805239117e-08,2.6044499890076622e-11,2.220446049250313e-15,-5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16
32,0.0,-1.3121326081222406e-07,-3.312177254688464e-08,5.24314671679349e-08,2.724265257825209e-11,2.886579864025407e-15,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
33,0.0,-1.5388174268160526e-07,-3.1838101488546044e-08,5.327713159530845e-08,2.8701707677214472e-11,2.6645352591003757e-15,-5.551115123125783e-16,-2.220446049250313e-16,2.220446049250313e-16
34,0.0,-2.3622488898311644e-07,-3.0688336538631233e-08,5.434516037183812e-08,3.0354607716276405e-11,3.3306690738754696e-15,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
35,0.0,-2.6998673552380836e-07,-2.7235571797845637e-08,5.54100021421533e-08,3.211741983477623e-11,3.3306690738754696e-15,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
36,0.0,-1.889512144526151e-07,-2.5578591245078997e-08,5.629663601958157e-08,3.3893110540361704e-11,3.3306690738754696e-15,-2.220446049250313e-16,-3.3306690738754696e-16,2.220446049250313e-16
37,0.0,-6.489534598586033e-08,-2.00432190844424e-08,5.688060733533007e-08,3.5566660727681665e-11,3.552713678800501e-15,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
38,0.0,-6.811604913448122e-08,-1.6999992302757505e-08,5.708807315762954e-08,3.7009284525879593e-11,3.9968028886505635e-15,-2.220446049250313e-16,0.0,2.220446049250313e-16
39,0.0,-1.050577961292376e-07,-1.0228574764958864e-08,5.689583559842504e-08,3.807665294175422e-11,4.218847493575595e-15,0.0,2.220446049250313e-16,-2.220446049250313e-16
40,0.0,-9.376292797735886e-08,-4.351445537231768e-09,5.633138022709261e-08,3.8609559993574294e-11,3.9968028886505635e-15,-5.551115123125783e-16,-3.3306690738754696e-16,0.0
41,0.0,-8.963605824252596e-08,2.356646211509883e-09,5.547291759278039e-08,4.9865223061829056e-11,5.10702591327572e-15,-3.3306690738754696e-16,-2.220446049250313e-16,0.0
42,0.0,-9.246860699363424e-08,1.248071068715717e-08,5.444941209020726e-08,4.6926018626436417e-11,5.10702591327572e-15,0.0,-5.551115123125783e-16,-2.220446049250313e-16
43,0.0,-1.0123264582162506e-07,1.7845524169501914e-08,5.344062348200396e-08,4.5187187325268496e-11,4.6629367034256575e-15,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16
44,0.0,-1.3504971585476255e-07,3.132083881141057e-08,5.267713776291316e-08,4.446309986860797e-11,4.218847493575595e-15,-5.551115123125783e-16,-6.661338147750939e-16,2.220446049250313e-16
45,0.0,-1.3611593407958367e-07,3.610969012690646e-08,5.2418811291587986e-08,4.4565240386873484e-11,4.6629367034256575e-15,-2.220446049250313e-16,-5.551115123125783e-16,-2.220446049250313e-16
